"","plotID","z","type"
"1","ABBY_001",0.677928343920834,"evergreenForest"
"2","ABBY_001",0.740554229137963,"evergreenForest"
"3","ABBY_001",0.791549830379384,"evergreenForest"
"4","ABBY_001",0.796869769408208,"evergreenForest"
"5","ABBY_001",1.01871663457102,"evergreenForest"
"6","ABBY_001",0.735481373629423,"evergreenForest"
"7","ABBY_001",0.653167192542187,"evergreenForest"
"8","ABBY_001",0.736295563385834,"evergreenForest"
"9","ABBY_001",0.861645215528631,"evergreenForest"
"10","ABBY_001",0.871281858904399,"evergreenForest"
"11","ABBY_001",0.673695683872382,"evergreenForest"
"12","ABBY_001",0.86464413122687,"evergreenForest"
"13","ABBY_001",0.765071091376461,"evergreenForest"
"14","ABBY_001",1.01388527118001,"evergreenForest"
"15","ABBY_001",0.879025412337355,"evergreenForest"
"16","ABBY_001",0.917624773166949,"evergreenForest"
"17","ABBY_001",0.879604703121563,"evergreenForest"
"18","ABBY_001",0.861356434686123,"evergreenForest"
"19","ABBY_001",0.743726875972288,"evergreenForest"
"20","ABBY_001",0.655256559817758,"evergreenForest"
"21","ABBY_001",0.969915937663493,"evergreenForest"
"22","ABBY_001",0.849584613122559,"evergreenForest"
"23","ABBY_001",0.758236821840293,"evergreenForest"
"24","ABBY_001",0.995163938474814,"evergreenForest"
"25","ABBY_001",0.904891427960258,"evergreenForest"
"26","ABBY_001",0.711542497568755,"evergreenForest"
"27","ABBY_001",1.06787287885488,"evergreenForest"
"28","ABBY_001",0.737791873317663,"evergreenForest"
"29","ABBY_001",0.927641405346771,"evergreenForest"
"30","ABBY_001",0.694576983452285,"evergreenForest"
"31","ABBY_002",0.793647973314223,"grasslandHerbaceous"
"32","ABBY_002",0.633388184099402,"grasslandHerbaceous"
"33","ABBY_002",1.14747202233861,"grasslandHerbaceous"
"34","ABBY_002",0.864786067431554,"grasslandHerbaceous"
"35","ABBY_002",0.892814163313193,"grasslandHerbaceous"
"36","ABBY_002",0.807269678732047,"grasslandHerbaceous"
"37","ABBY_002",0.654657285375952,"grasslandHerbaceous"
"38","ABBY_002",0.767385775064049,"grasslandHerbaceous"
"39","ABBY_002",0.824362202568447,"grasslandHerbaceous"
"40","ABBY_002",0.834643467491879,"grasslandHerbaceous"
"41","ABBY_002",0.697857280450807,"grasslandHerbaceous"
"42","ABBY_002",0.975521307525601,"grasslandHerbaceous"
"43","ABBY_002",0.635490730246244,"grasslandHerbaceous"
"44","ABBY_002",0.886889230735503,"grasslandHerbaceous"
"45","ABBY_002",0.686720069593602,"grasslandHerbaceous"
"46","ABBY_002",0.769229447047237,"grasslandHerbaceous"
"47","ABBY_002",0.931742281122079,"grasslandHerbaceous"
"48","ABBY_002",0.647110049252501,"grasslandHerbaceous"
"49","ABBY_002",0.966046312724993,"grasslandHerbaceous"
"50","ABBY_002",0.673195571730942,"grasslandHerbaceous"
"51","ABBY_002",0.809453382187406,"grasslandHerbaceous"
"52","ABBY_002",0.588648128304126,"grasslandHerbaceous"
"53","ABBY_002",0.677292701646203,"grasslandHerbaceous"
"54","ABBY_002",1.11922887597665,"grasslandHerbaceous"
"55","ABBY_002",0.964454179878775,"grasslandHerbaceous"
"56","ABBY_002",0.969333090959195,"grasslandHerbaceous"
"57","ABBY_002",0.733919584416493,"grasslandHerbaceous"
"58","ABBY_002",0.749964008178402,"grasslandHerbaceous"
"59","ABBY_002",1.04752893159004,"grasslandHerbaceous"
"60","ABBY_002",0.977978193127687,"grasslandHerbaceous"
"61","ABBY_003",0.76898358033479,"evergreenForest"
"62","ABBY_003",0.711946862184204,"evergreenForest"
"63","ABBY_003",0.821063113600719,"evergreenForest"
"64","ABBY_003",0.690405733926483,"evergreenForest"
"65","ABBY_003",0.723950709999061,"evergreenForest"
"66","ABBY_003",0.811132636846205,"evergreenForest"
"67","ABBY_003",0.788207543969523,"evergreenForest"
"68","ABBY_003",0.966131252571201,"evergreenForest"
"69","ABBY_003",1.03907096797871,"evergreenForest"
"70","ABBY_003",0.826516481751288,"evergreenForest"
"71","ABBY_003",0.716599096051982,"evergreenForest"
"72","ABBY_003",0.748785143819084,"evergreenForest"
"73","ABBY_003",0.795130815588713,"evergreenForest"
"74","ABBY_003",0.819211925231466,"evergreenForest"
"75","ABBY_003",0.803306117352263,"evergreenForest"
"76","ABBY_003",0.829536233714701,"evergreenForest"
"77","ABBY_003",0.787208579763599,"evergreenForest"
"78","ABBY_003",0.767701287992066,"evergreenForest"
"79","ABBY_003",0.920116775317895,"evergreenForest"
"80","ABBY_003",0.963912237755705,"evergreenForest"
"81","ABBY_003",0.898185368469954,"evergreenForest"
"82","ABBY_003",0.777286041579862,"evergreenForest"
"83","ABBY_003",0.686809178531749,"evergreenForest"
"84","ABBY_003",0.993147633256462,"evergreenForest"
"85","ABBY_003",0.749361667750601,"evergreenForest"
"86","ABBY_003",0.763458752047672,"evergreenForest"
"87","ABBY_003",0.799964342518315,"evergreenForest"
"88","ABBY_003",0.874908946114042,"evergreenForest"
"89","ABBY_003",0.799249003929489,"evergreenForest"
"90","ABBY_003",0.728744128649524,"evergreenForest"
"91","ABBY_004",1.01471185139317,"shrubScrub"
"92","ABBY_004",0.625462723144131,"shrubScrub"
"93","ABBY_004",0.668431231936318,"shrubScrub"
