"","plotID","rich"
"356","STEI_018","118"
"357","STEI_013","95"
"358","STEI_015","135"
"359","STEI_023","102"
"360","STEI_011","110"
"361","STEI_004","123"
"362","STEI_029","174"
"363","STEI_010","86"
"364","STEI_006","127"
"365","STEI_025","225"
"366","STEI_001","179"
"367","STEI_024","88"
"368","STEI_014","118"
"369","STEI_028","59"
"370","STEI_030","127"
"371","STEI_021","209"
"372","TREE_060","100"
"373","TREE_016","103"
"374","TREE_018","112"
"375","TREE_026","142"
"376","TREE_024","171"
"377","TREE_003","96"
"378","TREE_023","116"
"379","TREE_020","78"
"380","TREE_021","140"
"381","TREE_012","74"
"382","TREE_017","99"
"383","TREE_013","132"
"384","TREE_049","131"
"385","TREE_046","98"
"386","TREE_041","149"
"387","TREE_022","142"
"388","TREE_002","107"
"389","TREE_004","196"
"390","TREE_010","91"
"391","TREE_019","96"
"392","TREE_001","187"
"393","TREE_015","91"
"394","TREE_011","97"
"395","TREE_005","117"
"396","TREE_007","143"
"397","TREE_008","111"
"398","TREE_014","138"
"399","TREE_009","52"
"400","TREE_006","233"
"401","TREE_062","112"
"402","TREE_063","1"
"403","TREE_064","1"
"404","TREE_065","1"
"405","UNDE_013","97"
"406","UNDE_035","73"
"407","UNDE_003","216"
"408","UNDE_034","133"
"409","UNDE_014","114"
"410","UNDE_032","79"
"411","UNDE_010","152"
"412","UNDE_011","162"
"413","UNDE_002","86"
"414","UNDE_017","97"
"415","UNDE_012","180"
"416","UNDE_036","85"
"417","UNDE_001","157"
"418","UNDE_007","143"
"419","UNDE_018","28"
"420","UNDE_015","134"
"421","UNDE_008","124"
"422","UNDE_006","121"
"423","UNDE_020","143"
"424","UNDE_027","68"
"425","UNDE_030","126"
"426","UNDE_021","44"
"427","UNDE_029","134"
"428","UNDE_023","131"
"429","UNDE_022","36"
"430","UNDE_025","39"
"431","UNDE_028","118"
"432","UNDE_037","124"
"433","UNDE_016","174"
"434","UNDE_024","131"
"435","UNDE_043","135"
"436","UNDE_038","118"
"437","UNDE_077","71"
"438","UNDE_019","108"
"439","UNDE_044","49"
"440","KONA_022","90"
"441","KONA_003","32"
"442","KONA_001","27"
"443","KONA_015","25"
"444","KONA_023","14"
"445","KONA_019","20"
"446","KONA_057","24"
"447","KONA_008","45"
"448","KONA_048","28"
"449","KONA_054","26"
"450","KONA_014","33"
"451","KONA_013","29"
"452","KONA_004","25"
"453","KONA_010","26"
"454","KONA_006","49"
"455","KONA_016","13"
"456","KONA_018","23"
"457","KONA_007","22"
"458","KONA_020","20"
"459","KONA_028","17"
"460","KONA_027","18"
"461","KONA_021","27"
"462","KONA_009","37"
"463","KONA_025","11"
"464","KONA_011","40"
"465","KONA_026","34"
"466","KONA_012","32"
"467","KONA_017","47"
"468","KONA_002","33"
"469","KONA_005","33"
"470","KONA_029","6"
"471","KONA_030","29"
"472","KONA_032","14"
"473","KONA_035","21"
"474","KONA_024","37"
"475","KONZ_042","132"
"476","KONZ_045","134"
"477","KONZ_043","145"
"478","KONZ_006","152"
"479","KONZ_009","95"
"480","KONZ_014","75"
"481","KONZ_005","141"
"482","KONZ_013","65"
"483","KONZ_002","103"
"484","KONZ_022","101"
"485","KONZ_028","106"
"486","KONZ_001","75"
"487","KONZ_023","62"
"488","KONZ_003","175"
"489","KONZ_007","86"
"490","KONZ_020","75"
"491","KONZ_010","95"
"492","KONZ_012","133"
"493","KONZ_011","72"
"494","KONZ_025","134"
"495","KONZ_021","112"
"496","KONZ_016","113"
"497","KONZ_027","117"
"498","KONZ_008","137"
"499","KONZ_024","133"
"500","KONZ_030","119"
"501","KONZ_015","107"
"502","KONZ_017","152"
"503","KONZ_029","106"
"504","KONZ_019","81"
"505","KONZ_026","136"
"506","KONZ_018","135"
"507","KONZ_004","74"
"508","UKFS_043","100"
"509","UKFS_032","136"
"510","UKFS_031","113"
"511","UKFS_007","117"
"512","UKFS_004","173"
"513","UKFS_005","128"
"514","UKFS_010","118"
"515","UKFS_025","117"
"516","UKFS_009","129"
"517","UKFS_013","193"
"518","UKFS_026","117"
"519","UKFS_018","141"
"520","UKFS_002","88"
"521","UKFS_020","86"
"522","UKFS_001","93"
"523","UKFS_016","95"
"524","UKFS_023","73"
"525","UKFS_019","63"
"526","UKFS_006","107"
"527","UKFS_027","104"
"528","UKFS_011","80"
"529","UKFS_012","104"
"530","UKFS_008","82"
"531","UKFS_024","88"
"532","UKFS_014","100"
"533","UKFS_022","74"
"534","UKFS_015","139"
"535","UKFS_003","144"
"536","UKFS_028","80"
"537","UKFS_029","86"
"538","UKFS_030","72"
"539","UKFS_021","87"
"540","UKFS_017","154"
"541","GRSM_047","23"
"542","GRSM_048","78"
"543","GRSM_050","48"
"544","GRSM_026","53"
"545","GRSM_013","64"
"546","GRSM_006","101"
"547","GRSM_017","107"
"548","GRSM_002","33"
"549","GRSM_019","55"
"550","GRSM_001","106"
"551","GRSM_004","70"
"552","GRSM_014","98"
"553","GRSM_010","139"
"554","GRSM_023","93"
"555","GRSM_012","98"
"556","GRSM_003","77"
"557","GRSM_009","107"
"558","GRSM_008","108"
"559","GRSM_007","87"
"560","GRSM_015","133"
"561","GRSM_011","93"
"562","GRSM_022","50"
"563","GRSM_018","63"
"564","GRSM_020","137"
"565","GRSM_024","38"
"566","GRSM_005","47"
"567","GRSM_021","87"
"568","GRSM_027","41"
"569","GRSM_029","14"
"570","GRSM_028","21"
"571","GRSM_025","24"
"572","GRSM_016","28"
"573","GRSM_030","17"
"574","GRSM_058","125"
"575","GRSM_055","119"
"576","GRSM_059","74"
"577","GRSM_072","77"
"578","MLBS_063","61"
"579","MLBS_064","63"
"580","MLBS_061","58"
"581","MLBS_009","97"
"582","MLBS_003","58"
"583","MLBS_011","85"
"584","MLBS_012","60"
"585","MLBS_001","64"
"586","MLBS_002","77"
"587","MLBS_017","58"
"588","MLBS_005","70"
"589","MLBS_024","57"
"590","MLBS_010","78"
"591","MLBS_022","58"
"592","MLBS_031","35"
"593","MLBS_016","53"
"594","MLBS_019","85"
"595","MLBS_014","96"
"596","MLBS_015","83"
"597","MLBS_027","85"
"598","MLBS_029","82"
"599","MLBS_026","72"
"600","MLBS_013","63"
"601","MLBS_006","139"
"602","MLBS_020","75"
"603","MLBS_025","51"
"604","MLBS_030","85"
"605","MLBS_007","87"
"606","MLBS_008","94"
"607","MLBS_018","41"
"608","MLBS_023","74"
"609","MLBS_028","75"
"610","MLBS_021","65"
"611","MLBS_004","65"
"612","ORNL_031","91"
"613","ORNL_035","74"
"614","ORNL_002","89"
"615","ORNL_044","82"
"616","ORNL_021","82"
"617","ORNL_047","138"
"618","ORNL_048","73"
"619","ORNL_001","95"
"620","ORNL_003","130"
"621","ORNL_004","47"
"622","ORNL_018","133"
"623","ORNL_027","175"
"624","ORNL_008","82"
"625","ORNL_012","112"
"626","ORNL_015","117"
"627","ORNL_006","116"
"628","ORNL_040","158"
"629","ORNL_032","124"
"630","ORNL_033","152"
"631","ORNL_010","96"
"632","ORNL_036","64"
"633","ORNL_019","55"
