"","a1","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30"
"1","WY1",0.638386885500889,0.660138172499105,0.719231931946774,0.879935886168122,0.776003084438933,0.894826170120399,0.765311450844048,0.879982994456048,0.689073055258453,1.01978894769294,0.75988382244902,0.755302742725548,1.00056352114868,0.805393692801174,0.690538319063468,0.698123022160832,0.905656098200914,0.852331944181745,0.768747569434293,0.847336531243583,0.629512537495256,0.711633644996631,0.739240320622889,0.809474902993379,0.536559528772203,0.656479091923864,0.708926690963132,0.723341312364898,0.778278245037257,0.637401611200444
"2","WY2",0.669487732855223,0.889621767505701,0.785286739894047,0.824607217487189,0.785069864361794,1.13078487044586,0.708389597245805,0.858337292127887,0.766324000770048,0.788189009540519,0.766219932584823,0.656822877823575,0.752740865649407,0.75092023006905,0.802109691222692,0.845083704501261,0.923645548894705,0.972673045070423,0.84595107085761,0.802281424147378,0.685135925035199,0.806998488285743,0.869002669822429,1.10249249673727,0.736861506892541,0.780560411660791,0.936298559847613,0.696455711534164,0.710019744380008,0.700364854384271
"3","WY3",0.748982113454926,0.700885360435337,0.577965000957358,0.653537822857906,0.741806789210218,0.654673958629544,0.749815910054195,0.92310752598492,0.77463421104,0.699479080963648,0.919660817785985,0.65251681987461,0.696067467968122,0.882661073337686,0.769963517979308,0.734758867914115,0.6881901572018,0.69530335478985,0.793498191528345,0.558980566880321,0.939751775407561,0.749952614114295,0.661101444532091,0.65709222705195,0.555591800484698,0.762679275789067,0.707563086327211,0.593485948196046,0.629658945324761,0.593052389674887
"4","WY4",0.855988780633276,1.02010883068517,0.838418005228923,0.725183762191777,0.667060462076789,0.683698051001539,0.805297587438912,0.889756364029529,0.848380487155573,0.727322109841176,0.794361962301259,0.774351451765232,0.812556630429477,0.561563009991937,0.795556596577951,0.832264836471,0.852585518204157,0.692356325889755,0.834377265086566,0.680120548347557,0.631218050124798,0.654685115829461,0.595077490641227,0.83801841982194,0.669146335160525,0.643117394350482,0.698161472520612,0.784852685519503,0.901924280806301,0.845705582371348
"5","MI1",1.04980943655439,0.820367683723436,0.777455849550789,0.687015151831572,0.790980156550407,0.772824672252365,0.678405614386552,0.800271821171173,0.712409609435432,0.723243732809117,1.09362901334905,1.07120595854249,1.00234994107694,0.797972626636861,0.813837780713625,0.792189655467174,0.612886066036453,0.838831059775858,0.800979467111014,0.770384739586582,0.825286449134569,0.754600966148874,0.832182009766813,0.873372764192671,0.671408705870958,0.831428547655148,0.694430799745027,0.818816948521943,0.694473245436974,1.04530103885271
"6","MI2",0.700333513051301,0.688495442652073,1.00054589150457,0.750536295736545,0.664756142266145,0.664543888463997,0.826497365712035,0.72769292800613,0.747007828434617,0.759315870139693,0.669657528240094,0.846599280361559,0.714841228873114,0.74566613289826,0.87546635179739,0.921023610788107,0.742162197659044,0.733172718327772,0.828285725738866,0.760786665412148,0.732482009273359,0.688783116223981,0.714821167749968,0.697898297260144,0.669815961634214,0.753504907409755,0.770461032705405,0.831798674931352,0.781415792069853,0.631334156912542
"7","MI3",0.659569048030627,0.774741265852282,0.942892411511833,0.72616069958804,0.846567752990924,0.657096072259646,0.763639988610436,0.973548005334661,0.59243939084447,0.762511515411735,0.751236539246803,0.680826445221567,0.832346849079774,0.902463546539423,0.964623817738464,0.728414323136877,0.645911558754294,0.994754317444763,0.617267108855073,0.803050593097245,0.754054119530476,0.713031682488738,0.946728181025686,0.944571349104067,0.845457195766627,0.781829351967344,0.768635696035563,0.855678883508743,0.658382078927555,0.692504150805147
"8","MI4",0.777832798147982,0.819464075562451,0.765845182449443,0.639466315188716,0.728116003697674,0.772122342916484,0.862136587437903,0.760761001221983,0.779875883386115,0.798151511239642,0.699111697815337,0.834568804248383,0.849001955141005,0.904977122978649,0.83422213213261,0.762087196327039,0.747362007048238,0.757944754278336,0.659631051253667,0.689955343964956,0.803362621937618,0.805395617853569,0.738139897247092,1.08096524900583,0.803111134985077,0.547247236887362,0.821703879657527,0.720224084418701,0.803850100784036,0.642808144687625
"9","MI5",0.658692765065193,0.83673268210764,0.722775255284911,0.750329776483767,0.64621159527409,0.645210528576215,0.83717165479881,0.689787578470253,0.599959470377434,0.741595544875825,0.752489255616472,0.752690378498501,0.74408472946372,0.728723418090789,0.665093751047756,0.752593889397337,0.750298907147218,0.790733476173667,0.795740029231771,0.790910435199355,0.788881500183087,0.795415442969225,0.669440971499344,0.715558123290555,0.90353909327937,0.711762823029824,0.708807975364267,0.686257866044814,0.841298709330527,0.634944841425334
"10","MI6",0.642198633715971,0.630661448414079,0.676447584662013,1.02089996315997,0.934245454642075,0.800262190869374,0.909183817665079,0.846879711499221,0.633117694297547,0.72906858463402,0.720848695161006,0.919166854605465,0.680599152497624,0.703884317753375,0.581450836104573,0.769317741763985,0.724901858162945,0.603575734372592,0.826825847852673,0.584164034325123,0.601387336514826,0.708827856975385,1.05514037813607,0.987019480313515,0.650551754754021,0.771791975426708,0.695677044997845,0.982947629651737,0.89539263932023,0.906592975041289
