"","plotID","d15N","d13C","nitrogenPercent","carbonPercent","CNratio"
"50","BART_040",-0.242857142857143,-29.0285714285714,0.721428571428571,49.45,83.6857142857143
"51","BART_041",-0.346666666666667,-28.1,0.753333333333333,49.9866666666667,76.3933333333333
"52","BART_042",0.157142857142857,-28.0571428571429,0.842857142857143,48.8714285714286,66.9071428571429
"53","BART_044",-1.70625,-28.6,0.7125,50.08125,80.2625
"54","BART_046",-0.6,-28.25,0.714285714285714,50.35,83.6
"55","BART_047",-0.62,-28.9133333333333,0.7,50.0333333333333,83.8066666666667
"56","BART_050",-0.425,-28.21875,0.68125,49.90625,85.175
"57","BART_051",-0.742857142857143,-28.3642857142857,0.664285714285714,51.35,87.3214285714286
"58","BART_070",-0.628571428571429,-28.0357142857143,0.721428571428571,50.4571428571429,82.6714285714286
"59","BART_071",-0.14,-28.4,0.673333333333333,49.2933333333333,90.96
"60","BART_072",-0.528571428571429,-27.7428571428571,0.785714285714286,51.2714285714286,76.0785714285714
"61","BART_073",0.0142857142857143,-28.4142857142857,0.685714285714286,50.05,85.6714285714286
"62","BART_074",-0.347058823529412,-28.2647058823529,0.705882352941177,50.1588235294118,83.9176470588235
"63","BART_075",-0.635714285714286,-28.2214285714286,0.757142857142857,49.6928571428571,79.9714285714286
"64","BLAN_031",1.8,-24.4,1.11,43.72,39.3
"65","BLAN_032",0.866666666666667,-29.3666666666667,1.13333333333333,48.3166666666667,44.9666666666667
"66","BLAN_033",5.4,-15.3,1.83,42.715,23.6
"67","BLAN_034",2,-27.9,1.03,45.77,44.5
"68","BLAN_035",2.55,-28.7,1.81,43.79,24.85
"69","BLAN_036",0.2,-29.6,1.2675,49.8425,41.175
"70","BLAN_037",2.7,-27.8,1.13,46.9,41.7
"71","BLAN_038",1.36666666666667,-17.2,0.736666666666667,42.0166666666667,61
"72","BLAN_039",2.1,-26.3,1.13,45.41,40.3
"73","BLAN_040",3.2,-14,1.62,44.55,27.5
"74","BLAN_042",2.1,-23.9,0.97,42.7,44
"75","BLAN_043",3.43333333333333,-13.0666666666667,1.72,42.0366666666667,25.6
"76","BLAN_044",2.26666666666667,-28.4666666666667,1.15666666666667,47.3,43.9
"77","BLAN_045",0.9,-25.5,1.3,44.88,34.5
"78","BLAN_046",2.1,-26.3,1.19,44.51,37.3
"79","BLAN_047",-1.53333333333333,-30.1666666666667,1.61666666666667,49.1233333333333,31.0333333333333
"80","BLAN_048",0.533333333333333,-24.1666666666667,1.47666666666667,43.2633333333333,31.4333333333333
"81","BLAN_049",-0.1,-27.8,1.25,69.76,55.7
"82","BLAN_050",1.2,-30.0333333333333,1.49666666666667,48.7233333333333,34.9333333333333
"83","BLAN_051",5.6,-13.9,2.06,45.67,22.2
"84","BLAN_052",0.266666666666667,-29.2333333333333,0.873333333333333,47.52,61.2
"85","BLAN_053",0.05,-30.25,0.9975,47.6525,50.325
"86","BLAN_054",2.3,-25.7,1.09,43.77,40.2
"87","BLAN_055",0.2,-29.6333333333333,0.81,47.8066666666667,67.5333333333333
